Category,Dish,Description,Price
Spécialités Crevettes et Gambas,CREVETTE MALAI,Crevettes cuites dans une savoureuse sauce à base de pâte de noix de cajou et de lait de coco parfumé de safran. Crème fraîche.,12.5€
Spécialités Crevettes et Gambas,CREVETTE MASSALA,"Crevettes succulentes sautées dans une riche sauce d'oignons et de tomates, sauce épaisse et assaisonnée. Légèrement épicée.",11€
Spécialités Crevettes et Gambas,CREVETTE KORMA,"Crevettes cuites dans une sauce crémeuse à base d'amandes, d'épices, crème fraîche et d'un soupçon d'ail. Garnies d'amandes.",13€
Spécialités Crevettes et Gambas,GAMBAS CURRY,Gambas cuites dans une riche sauce d'oignon garnies de coriandre fraîche. Crème fraîche.,14€
Spécialités Crevettes et Gambas,GAMBAS KADHAI,Gambas à la sauce tomate avec des petits morceaux de gingembre dans la sauce et des épices.,14€
Spécialités Crevettes et Gambas,GAMBAS MASSALA,Gambas sautées dans une riche sauce d'oignons de tomates assaisonnée. Légèrement épicée.,13€
Légumes,DAAL MAKHNI,"Plat de lentilles cuites à feu doux et sautées avec des oignons, des épices et des tomates pour une touche finale de saveur crémeuse.",8.5€
Légumes,PALAK PANEER,Savoureux morceaux de fromage maison frais cuits avec des épinards et des épices fraîchement moulues. Crème fraîche.,9.5€
Légumes,MATTAR PANEER,Plat consistant fait de fromage maison frais cuits avec des épices et des petits pois. Crème fraîche.,8€
Légumes,BAIGAN BARTHA,"Aubergine rôtie cuite avec des oignons, des tomates, et garnie de coriandre fraîche. Crème fraîche.",9.5€
Légumes,ALOO JEERA,Pommes de terre marinées aux graines de cumin et des épices avec sauce curry.,9€
Légumes,KADAI VÉGÉTARIAN CURRY,Des légumes mijotés à la sauce curry.,9€
Légumes,PUNJABI CHANA MASSALA,"Pois chiches fortement assaisonnés d'oignons, d'ail, de coriandre, de garam masala et de poudre de mangue, donnant à ce plat consistant de la campagne du Punjab une agréable saveur piquante.",9€
Légumes,NAVRATON KORMA,"Légumes cuits avec des fruits secs et un soupçon de crème, plat garni d'amandes.",11€
Biryani,BIRYANI aux légumes,"Riz basmati parfumé, cuit avec des légumes.",13.5€
Biryani,BIRYANI poulet,"Riz basmati parfumé, cuit avec des morceaux de poulet et des fruits secs.",15€
Biryani,BIRYANI agneau,"Riz basmati parfumé, cuit avec des morceaux d'agneau et des fruits secs.",16€
Biryani,BIRYANI crevettes,"Riz basmati parfumé, cuit avec des crevettes et des fruits secs.",16€
Biryani,BIRYANI du chef,"Riz basmati parfumé, cuit avec des morceaux de blancs de poulet, agneau, crevettes et des fruits secs.",17€
Riz,RIZ basmati,Riz parfumé avec du safran.,4€
Riz,RIZ mattar poualo,"Riz basmati parfumé, cuit avec des oignons, des petits pois, des tomates fraîches et du safran.",5€
Riz,KASHMIRI POUALO,"Riz basmati parfumé, et des fruits secs (amandes, noix de cajou, raisins secs).",5€
